date,account_id,decision,buy_count,sell_count,trade_count,symbols,reasons,cash_krw,holdings_value_krw,equity_krw,contributed_capital_krw,net_profit_krw,open_positions
2021-11-16,benchmark_gld,hold,0,0,0,,,160477.4603,20874559.9696,21035037.4299,20000000.0,1035037.4299,1
2021-11-16,benchmark_kodex200,hold,0,0,0,,,19491.7181,19116275.0,19135766.7181,20000000.0,-864233.2819,1
2021-11-16,benchmark_qqq,hold,0,0,0,,,423157.3535,25398930.4545,25822087.808,20000000.0,5822087.808,1
2021-11-16,benchmark_spy,hold,0,0,0,,,413285.4187,24992890.9172,25406176.3359,20000000.0,5406176.3359,1
2021-11-16,smic_follower,hold,0,0,0,,,4553.5913,23602071.4274,23606625.0187,20000000.0,3606625.0187,15
2021-11-16,smic_follower_v2,hold,0,0,0,,,3758.7528,21527720.2288,21531478.9816,20000000.0,1531478.9816,14
2021-11-17,all_weather,hold,0,0,0,,,341005.183,22220229.7974,22561234.9805,20000000.0,2561234.9805,4
2021-11-17,benchmark_gld,hold,0,0,0,,,160488.4444,21074906.8191,21235395.2635,20000000.0,1235395.2635,1
2021-11-17,benchmark_kodex200,hold,0,0,0,,,19493.0523,18876200.0,18895693.0523,20000000.0,-1104306.9477,1
2021-11-17,benchmark_qqq,hold,0,0,0,,,423186.317,25423946.6416,25847132.9587,20000000.0,5847132.9587,1
2021-11-17,benchmark_spy,hold,0,0,0,,,413313.7066,24943554.3241,25356868.0307,20000000.0,5356868.0307,1
2021-11-17,smic_follower,hold,0,0,0,,,4553.903,23510667.9965,23515221.8996,20000000.0,3515221.8996,15
2021-11-17,smic_follower_v2,hold,0,0,0,,,3759.0101,21455111.5872,21458870.5972,20000000.0,1458870.5972,14
2021-11-18,all_weather,hold,0,0,0,,,341028.5236,22217206.3864,22558234.91,20000000.0,2558234.91,4
2021-11-18,benchmark_gld,hold,0,0,0,,,160499.4293,20957240.86,21117740.2893,20000000.0,1117740.2893,1
2021-11-18,benchmark_kodex200,hold,0,0,0,,,19494.3865,18798600.0,18818094.3865,20000000.0,-1181905.6135,1
2021-11-18,benchmark_qqq,hold,0,0,0,,,423215.2826,25626193.8113,26049409.0938,20000000.0,6049409.0938,1
2021-11-18,benchmark_spy,hold,0,0,0,,,413341.9964,24968662.7266,25382004.723,20000000.0,5382004.723,1
2021-11-18,smic_follower,hold,0,0,0,,,4554.2147,23287850.6514,23292404.8661,20000000.0,3292404.8661,15
